Feature_ID	Taxon	Consensus
09298658ed460c164991beec97403c66	Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae_(Subgroup_1);uncultured	1.0
093fe0e6586cf22d196195354badc01d	Bacteria;Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Dactylosporangium	0.9
096004e33d6cf3511c5a94fb3edbef19	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiales_Incertae_Sedis;Rhizomicrobium;uncultured_bacterium	0.7
09688e5b879bc69241b72e19102f2d5c	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Dongia	1.0
09854cf2fb522e0277d1110e936ed46c	Bacteria;Proteobacteria;Betaproteobacteria;SC-I-84	1.0
0964ce2f9779ea5e2c96ce424e20139c	Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;Haloferula	1.0
099e9ad1f809521dd515f96f852d4c0e	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia	0.9
09b7b8af0e48160843d1c27f01ce4df1	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Ambiguous_taxa	0.6
09cf48b22bf4826f9b3584b0728045cc	Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Pirellula;uncultured_bacterium	0.8
09ccf59c57073148297bc9e5c3e8fddc	Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Sandaracinaceae;uncultured;uncultured_bacterium	0.7
09d8f29c2581d0c02f950ce788b6428d	Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Elev-16S-1332;uncultured_bacterium;uncultured_bacterium	1.0
09e9c74efd9feff38d8c65627f1e9845	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Devosia	0.9
09ea1f58090cb2088668e27e573f49a7	Bacteria;Actinobacteria;Thermoleophilia;Gaiellales;uncultured;uncultured_bacterium;uncultured_bacterium	0.8
0a0c8c3d244a35c9b72eb1289cd62ba8	Bacteria;Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Actinoplanes	0.7
0a0ebecd356b78f50bf396daefd80b2f	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Sporocytophaga;uncultured_bacterium	0.7
0a1bd9790568efb950cca728c968685b	Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Haliangiaceae;Haliangium;uncultured_bacterium	0.6
0a2ec26e777cb5648029375181e70999	Bacteria;Actinobacteria;Actinobacteria;Catenulisporales;Catenulisporaceae;Catenulispora	0.6
0a2a6f91897a89a96de55b3ffac8f295	Bacteria;Acidobacteria;Holophagae;Subgroup_7;uncultured_bacterium;uncultured_bacterium;uncultured_bacterium	0.6
0a55d7cf7b0e3152a8fce658f72f7b43	Bacteria;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;Gemmatimonas;uncultured_bacterium	0.7
0a3070345a1299644859a3a966f54dca	Bacteria;Actinobacteria;Actinobacteria;Frankiales;Frankiaceae;Jatrophihabitans	0.9
0a68f0fc4c8574fd52102d7c8728fe02	Bacteria;Chloroflexi;Ktedonobacteria;C0119;uncultured_bacterium;uncultured_bacterium;uncultured_bacterium	0.9
0a73bbd63370044a5f5984d97d6bd0fb	Bacteria;Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Actinoplanes	1.0
0a9b720cf87245fe69e0bc6ef1b8382a	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;uncultured;uncultured_bacterium;uncultured_bacterium	0.7
0a9dd68a8d135237c331945d48f66dbd	Bacteria;Chloroflexi;KD4-96	1.0
0abfc099144ae1bcb155da13b3190bbf	Bacteria;Planctomycetes;Phycisphaerae;Tepidisphaerales;Tepidisphaeraceae;uncultured_bacterium;uncultured_bacterium	0.8
